Player,Tm,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
198,18,14,0,36.166666666666664,6.0,14.0,0.429,3.0,5.0,0.6,2.0,2.0,1.0,3.0,6.0,9.0,3.0,3.0,1.0,2.0,6.0,17.0,11.0,14.9,1
191,23,25,1,35.583333333333336,6.0,12.0,0.5,3.0,7.0,0.429,3.0,3.0,1.0,1.0,4.0,5.0,7.0,1.0,0.0,4.0,3.0,18.0,1.0,14.6,1
531,0,27,0,34.3,5.0,14.0,0.357,1.0,7.0,0.143,11.0,13.0,0.846,0.0,1.0,1.0,5.0,1.0,0.0,2.0,4.0,22.0,-14.0,14.6,1
60,28,12,1,22.683333333333334,7.0,13.0,0.538,3.0,7.0,0.429,3.0,3.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,5.0,20.0,8.0,14.3,1
185,16,29,1,24.35,6.0,12.0,0.5,5.0,11.0,0.455,0.0,0.0,0.767805115408609,0.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,17.0,3.0,14.2,1
187,21,15,1,18.5,3.0,4.0,0.75,0.0,1.0,0.0,2.0,2.0,1.0,3.0,5.0,8.0,4.0,1.0,1.0,0.0,1.0,8.0,11.0,14.1,1
245,12,28,0,29.183333333333334,5.0,12.0,0.417,2.0,9.0,0.222,3.0,4.0,0.75,0.0,2.0,2.0,11.0,0.0,0.0,2.0,1.0,15.0,-21.0,14.1,1
152,22,1,1,34.4,4.0,8.0,0.5,0.0,3.0,0.0,5.0,6.0,0.833,5.0,3.0,8.0,5.0,0.0,1.0,2.0,3.0,13.0,1.0,14.0,1
423,2,4,0,22.983333333333334,8.0,12.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,17.0,-11.0,13.8,1
299,3,8,1,28.8,5.0,12.0,0.417,1.0,2.0,0.5,8.0,11.0,0.727,1.0,4.0,5.0,11.0,0.0,1.0,6.0,5.0,19.0,6.0,13.7,1
534,3,8,1,31.633333333333333,5.0,8.0,0.625,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,8.0,3.0,0.0,2.0,3.0,12.0,6.0,13.7,1
36,8,3,0,33.03333333333333,5.0,8.0,0.625,0.0,0.0,0.3319796870232335,1.0,3.0,0.333,0.0,9.0,9.0,7.0,1.0,1.0,1.0,3.0,11.0,6.0,13.7,1
381,25,23,0,27.383333333333333,7.0,13.0,0.538,3.0,4.0,0.75,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,19.0,-9.0,13.6,1
358,4,2,1,33.56666666666667,7.0,15.0,0.467,4.0,8.0,0.5,2.0,5.0,0.4,1.0,1.0,2.0,8.0,0.0,0.0,3.0,3.0,20.0,10.0,13.5,1
231,19,5,1,34.38333333333333,5.0,18.0,0.278,1.0,9.0,0.111,12.0,13.0,0.923,0.0,4.0,4.0,5.0,0.0,0.0,2.0,3.0,23.0,6.0,13.5,1
71,8,3,0,34.266666666666666,8.0,24.0,0.333,1.0,6.0,0.167,6.0,10.0,0.6,2.0,5.0,7.0,10.0,1.0,0.0,3.0,6.0,23.0,-6.0,13.3,1
223,17,24,1,28.983333333333334,6.0,12.0,0.5,3.0,4.0,0.75,3.0,4.0,0.75,0.0,5.0,5.0,2.0,1.0,3.0,3.0,4.0,18.0,3.0,13.0,1
486,23,25,1,24.716666666666665,4.0,9.0,0.444,1.0,4.0,0.25,0.0,2.0,0.0,5.0,5.0,10.0,3.0,1.0,3.0,0.0,2.0,9.0,-7.0,12.9,1
232,8,3,0,19.75,7.0,12.0,0.583,0.0,0.0,0.3319796870232335,1.0,2.0,0.5,4.0,2.0,6.0,1.0,1.0,2.0,1.0,4.0,15.0,-9.0,12.9,1
238,21,15,1,16.5,6.0,7.0,0.857,2.0,3.0,0.667,0.0,0.0,0.767805115408609,0.0,4.0,4.0,2.0,2.0,0.0,2.0,3.0,14.0,15.0,12.9,1
324,26,6,1,24.65,5.0,6.0,0.833,1.0,1.0,1.0,0.0,0.0,0.767805115408609,2.0,3.0,5.0,2.0,1.0,0.0,0.0,2.0,11.0,10.0,12.7,1
317,19,5,1,31.0,5.0,12.0,0.417,1.0,4.0,0.25,8.0,9.0,0.889,1.0,10.0,11.0,2.0,0.0,0.0,3.0,4.0,19.0,2.0,12.7,1
422,1,22,0,25.116666666666667,7.0,8.0,0.875,0.0,0.0,0.3319796870232335,3.0,4.0,0.75,2.0,6.0,8.0,0.0,0.0,0.0,2.0,6.0,17.0,2.0,12.6,1
414,4,2,1,21.233333333333334,5.0,7.0,0.714,0.0,0.0,0.3319796870232335,3.0,4.0,0.75,4.0,5.0,9.0,0.0,1.0,1.0,2.0,3.0,13.0,8.0,12.5,1
535,4,2,1,20.65,4.0,7.0,0.571,2.0,3.0,0.667,2.0,3.0,0.667,1.0,2.0,3.0,6.0,1.0,0.0,2.0,1.0,12.0,15.0,12.4,1
145,21,15,1,32.516666666666666,7.0,18.0,0.389,3.0,6.0,0.5,6.0,6.0,1.0,0.0,4.0,4.0,3.0,0.0,2.0,4.0,4.0,23.0,-3.0,12.3,1
530,24,17,0,34.733333333333334,3.0,9.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,4.0,5.0,9.0,5.0,0.0,0.0,0.0,1.0,10.0,-1.0,12.3,1
354,16,29,1,23.3,5.0,10.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,12.0,7.0,12.3,1
492,5,19,0,28.366666666666667,6.0,11.0,0.545,5.0,10.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,6.0,19.0,-1.0,12.3,1
27,15,21,0,31.85,6.0,12.0,0.5,1.0,5.0,0.2,5.0,7.0,0.714,0.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,18.0,-21.0,12.2,1
171,2,4,0,22.316666666666666,4.0,6.0,0.667,4.0,6.0,0.667,2.0,2.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,3.0,14.0,-6.0,12.1,1
518,28,12,1,18.7,4.0,6.0,0.667,2.0,3.0,0.667,3.0,4.0,0.75,2.0,4.0,6.0,0.0,1.0,1.0,2.0,1.0,13.0,4.0,11.9,1
228,15,21,0,29.816666666666666,6.0,7.0,0.857,0.0,1.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,2.0,0.0,2.0,3.0,13.0,-1.0,11.8,1
451,6,26,0,29.416666666666668,7.0,11.0,0.636,2.0,3.0,0.667,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,4.0,17.0,-20.0,11.8,1
564,28,12,1,18.083333333333332,4.0,8.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,3.0,3.0,6.0,5.0,2.0,0.0,2.0,2.0,10.0,3.0,11.7,1
